"","farm","year","country","NPK","Tractor","Yield","NPKsq"
"1","A",2008,"Rich",13.11594555,584.7784683,2745.19722,172.028027670565
"2","B",2008,"Rich",194.0215574,0,2476.526612,37644.3647359215
"3","C",2008,"Mid",248.4564033,325.1714039,3476.573739,61730.5843407723
"4","D",2008,"Mid",273.6581723,132.5874631,2715.58904,74888.7952665765
"5","E",2008,"Poor",9.337804485,0,945.2708864,87.1945926000861
"6","F",2008,"Poor",17.1297763,139.1388394,1008.959309,293.429236088042
"7","G",2008,"Rich",0,1027.123459,2882.637306,0
"8","H",2008,"Mid",363.181119,375.1552748,3490.267216,131900.525198092
"9","I",2008,"Poor",21.7365269,43.5096253,496.132572,472.476601674424
"10","A",2009,"Rich",456.4125666,67.05301265,3862.438718,208312.430950399
"11","B",2009,"Rich",375.789557,810.6533646,4538.768911,141217.791150256
"12","C",2009,"Mid",165.9287187,781.1610264,3490.792802,27532.3396894237
"13","D",2009,"Mid",103.7529291,585.358954,3044.64709,10764.6702968296
"14","E",2009,"Poor",0,28.69119262,530.8340973,0
"15","F",2009,"Poor",0,53.54839001,742.7994745,0
"16","G",2009,"Rich",220.1746224,20.62698115,3209.599758,48476.8643489826
"17","H",2009,"Mid",53.14128946,551.0642483,2430.768043,2823.99664547151
"18","I",2009,"Poor",18.90923817,96.80148825,840.3443965,357.559288169785
"19","A",2010,"Rich",447.9980468,236.2980561,4124.446368,200702.249936615
"20","B",2010,"Rich",699.9007571,987.3126412,4792.515235,489861.069789153
"21","C",2010,"Mid",124.9439714,619.7152967,2884.102189,15610.995989204
"22","D",2010,"Mid",266.4675415,219.8582381,3456.05724,71004.9506730542
"23","E",2010,"Poor",23.16845654,108.2392096,1457.016825,536.777378445869
"24","F",2010,"Poor",74.86458637,28.71657927,845.3901621,5604.70629235119
"25","G",2010,"Rich",349.5946997,764.1003248,4740.003302,122216.454058333
"26","H",2010,"Mid",97.11535412,397.1982849,2883.959054,9431.392005853
"27","I",2010,"Poor",17.25475843,42.79532508,692.0970291,297.726688477656
"28","A",2011,"Rich",345.5139331,0,3819.107979,119379.877966231
"29","B",2011,"Rich",0,0,1021.702563,0
"30","C",2011,"Mid",138.8773225,89.80475167,2954.061377,19286.910704769
"31","D",2011,"Mid",74.19190454,485.2902322,2458.872716,5504.43869927247
"32","E",2011,"Poor",0,161.6070894,1214.05192,0
"33","F",2011,"Poor",32.85436028,4.4395596,1037.947063,1079.40898940804
"34","G",2011,"Rich",364.0193751,852.6646236,5792.911955,132510.105448194
"35","H",2011,"Mid",154.5194832,309.2613067,2017.204569,23876.2706883951
"36","I",2011,"Poor",47.35541729,0,511.2409308,2242.53554671003
"37","A",2012,"Rich",31.38538932,478.0080501,2294.076272,985.04266276797
"38","B",2012,"Rich",166.8080195,1260.450082,4729.86222,27824.9153695124
"39","C",2012,"Mid",143.1454714,312.9793871,2629.608864,20490.6259823282
"40","D",2012,"Mid",117.497254,429.7521333,3264.739795,13805.6046975405
"41","E",2012,"Poor",61.90816749,113.863153,1441.49113,3832.62120196989
"42","F",2012,"Poor",54.30174899,36.49536245,1311.591909,2948.67994337297
"43","G",2012,"Rich",236.821818,292.5883753,3738.139774,56084.5734808251
"44","H",2012,"Mid",0,317.6849676,1271.404508,0
"45","I",2012,"Poor",57.81223921,77.38472691,1440.364644,3342.25500247426
"46","A",2013,"Rich",28.74488287,560.7023671,2592.110641,826.268291210019
"47","B",2013,"Rich",126.8762327,796.3127766,3270.21417,16097.5784241446
"48","C",2013,"Mid",220.313423,668.2097034,4273.293092,48538.0043539769
"49","D",2013,"Mid",108.4024843,259.2249631,2333.353322,11751.0986024117
"50","E",2013,"Poor",2.593644032,0,471.882602,6.72698936472922
"51","F",2013,"Poor",0,95.96186599,856.5899163,0
"52","G",2013,"Rich",128.30071,1152.815963,4744.840928,16461.0721865041
"53","H",2013,"Mid",35.15821027,691.0357119,2372.637491,1236.09974938953
"54","I",2013,"Poor",10.24539345,42.46288779,336.0870155,104.968086945303
"55","A",2014,"Rich",233.6387345,1064.211972,5129.343252,54587.0582587615
"56","B",2014,"Rich",451.3248879,104.5581607,4062.397626,203694.154437948
"57","C",2014,"Mid",223.8529538,506.1963114,3463.013925,50110.1449249849
"58","D",2014,"Mid",236.8164837,293.7741658,3246.576324,56082.0469520324
"59","E",2014,"Poor",75.07319408,22.04602603,1517.807099,5635.98446937335
"60","F",2014,"Poor",0,0,955.2737774,0
"61","G",2014,"Rich",393.3900645,1162.861403,5492.147875,154755.742847314
"62","H",2014,"Mid",257.6411574,389.480579,3503.799919,66378.9659864116
"63","I",2014,"Poor",42.444146,27.48042574,373.5736521,1801.50552966932
"64","A",2015,"Rich",97.30197524,907.6141494,3914.851843,9467.67438560557
"65","B",2015,"Rich",260.6693855,144.142171,2929.437035,67948.5285369476
"66","C",2015,"Mid",396.3986031,563.7890029,4908.222794,157131.852539631
"67","D",2015,"Mid",73.20384249,400.7962053,1824.14775,5358.80255530073
"68","E",2015,"Poor",45.49231599,0,732.0324041,2069.55081413401
"69","F",2015,"Poor",0,42.02251021,990.8723804,0
"70","G",2015,"Rich",157.9718876,0,2456.775463,24955.117271907
"71","H",2015,"Mid",294.8400847,596.2005301,4268.762067,86930.6755459032
"72","I",2015,"Poor",14.92399303,57.15782968,277.4555004,222.725567959489
"73","A",2016,"Rich",287.6610886,509.1233422,4226.54627,82748.9018945371
"74","B",2016,"Rich",465.057086,0,3560.985994,216278.093238811
"75","C",2016,"Mid",16.8980952,245.1672382,1656.125395,285.545621388263
"76","D",2016,"Mid",165.8441658,393.2379678,3055.515735,27504.2873298979
"77","E",2016,"Poor",39.85135577,36.04516547,830.8159031,1588.13055670711
"78","F",2016,"Poor",55.83206425,184.0393789,1849.899895,3117.21939841613
"79","G",2016,"Rich",30.90860155,257.4351384,1896.995653,955.341649776662
"80","H",2016,"Mid",163.6516595,390.2754386,2435.397339,26781.8656571039
"81","I",2016,"Poor",0,68.2190245,710.6895918,0
"82","A",2017,"Rich",136.4717186,817.835754,4299.576296,18624.5299776376
"83","B",2017,"Rich",237.9662956,547.0730795,4160.73675,56627.9578415866
"84","C",2017,"Mid",58.92687913,22.86211755,1882.274129,3472.37708400163
"85","D",2017,"Mid",0,696.8800822,2133.955736,0
"86","E",2017,"Poor",0,30.58338233,642.3878005,0
"87","F",2017,"Poor",23.67198721,49.56737321,1202.443337,560.362978470404
"88","G",2017,"Rich",243.0206381,519.398553,3888.699391,59059.0305425312
"89","H",2017,"Mid",216.076685,425.8394752,3592.158811,46689.1338005892
"90","I",2017,"Poor",16.83846097,81.58948295,116.6859368,283.533767838213
"91","A",2018,"Rich",199.2638896,557.4231328,3382.176214,39706.097698521
"92","B",2018,"Rich",342.3384269,1023.6382,5434.445995,117195.598532367
"93","C",2018,"Mid",49.30689736,46.05356158,1898.08116,2431.17012726958
"94","D",2018,"Mid",166.901033,577.3828508,3517.911668,27855.9548164671
"95","E",2018,"Poor",44.24556776,11.77581164,1782.482752,1957.67026640475
"96","F",2018,"Poor",29.33148446,78.36902539,1258.065774,860.335980627221
"97","G",2018,"Rich",560.0268549,118.4940601,3487.1427,313630.078209186
"98","H",2018,"Mid",186.9332458,166.4877407,2787.101294,34944.0383853232
"99","I",2018,"Poor",24.01761357,56.84608143,863.6529139,576.845761597848
